D. Green,PF,Warriors,false,33,1,7,0,4,4,4,4,6,4,1,0,3,3,6,6,false
K. Durant,SF,Warriors,false,29,5,12,1,3,4,5,1,9,6,3,2,1,1,35,15,false
Z. Pachulia,C,Warriors,false,20,7,8,0,0,0,2,2,3,1,2,0,1,2,5,14,false
S. Curry,PG,Warriors,false,30,8,15,7,13,4,4,1,3,6,0,0,3,2,32,27,false
K. Thompson,SG,Warriors,false,34,7,14,7,9,0,0,0,5,1,0,1,3,1,17,21,false
A. Iguodala,SF,Warriors,false,29,1,5,1,4,2,2,0,6,5,1,0,3,0,12,5,true
J. McAdoo,SF,Warriors,false,4,0,0,0,0,0,0,0,0,0,0,1,0,1,-6,0,true
K. Looney,SF,Warriors,false,6,0,1,0,0,0,0,0,3,0,0,0,0,2,-13,0,true
J. McGee,C,Warriors,false,13,6,7,0,0,1,2,3,1,1,0,0,0,1,26,13,true
D. Jones,C,Warriors,false,7,0,1,0,0,0,0,0,1,0,1,0,1,2,-5,0,true
P. McCaw,PG,Warriors,false,20,4,11,2,5,0,0,1,0,1,0,0,1,0,-12,10,true
I. Clark,SG,Warriors,false,14,3,8,1,4,0,0,1,2,2,0,0,2,0,3,7,true
S. Ibaka,PF,Magic,true,21,4,9,2,4,0,0,0,3,1,1,1,1,3,-16,10,false
A. Gordon,PF,Magic,true,34,4,14,0,6,0,0,1,2,5,1,1,1,3,-38,8,false
N. Vucevic,C,Magic,true,24,6,8,0,0,0,0,1,3,1,2,1,0,2,-19,12,false
C.J. Watson,PG,Magic,true,36,4,10,1,5,3,5,1,1,4,2,0,4,3,1,12,false
E. Payton,PG,Magic,true,39,11,19,1,2,0,0,0,4,10,1,0,2,4,-23,23,false
J. Green,SF,Magic,true,27,4,12,2,3,2,3,2,1,1,0,1,2,1,-13,12,true
D. Rudez,SF,Magic,true,4,0,1,0,1,0,0,0,0,2,0,0,0,0,6,0,true
A. Brown,SF,Magic,true,4,1,2,0,0,0,0,2,1,0,0,0,0,1,6,2,true
B. Biyombo,C,Magic,true,24,5,8,0,0,2,7,4,9,0,0,3,0,1,-1,12,true
D.J. Augustin,PG,Magic,true,5,0,2,0,0,0,0,0,1,1,0,0,0,0,-6,0,true
M. Hezonja,SG,Magic,true,21,3,11,1,7,0,1,1,4,0,2,0,2,3,3,7,true
J. Randle,PF,Lakers,false,23,4,4,0,0,1,2,0,6,4,1,0,3,3,-13,9,false
L. Deng,SF,Lakers,false,19,4,7,1,3,0,0,0,2,0,0,2,0,0,-14,9,false
B. Ingram,SF,Lakers,false,36,2,12,0,3,2,3,0,1,0,1,0,3,5,-45,6,false
T. Mozgov,C,Lakers,false,20,1,5,0,0,2,2,3,5,1,0,0,2,3,-8,4,false
N. Young,SG,Lakers,false,27,3,9,1,5,2,2,0,2,1,0,0,0,0,-23,9,false
T. Robinson,PF,Lakers,false,6,1,1,0,0,0,0,0,1,1,0,0,2,2,-8,2,true
L. Nance Jr.,PF,Lakers,false,10,2,2,0,0,0,0,1,0,0,0,1,1,2,-13,4,true
I. Zubac,C,Lakers,false,19,1,2,0,0,0,0,1,3,1,0,1,1,1,-29,2,true
T. Black,C,Lakers,false,10,0,2,0,0,0,0,0,0,0,0,0,0,2,-10,0,true
J. Calderon,PG,Lakers,false,18,1,4,0,2,0,0,0,2,2,0,0,0,0,-2,2,true
J. Clarkson,PG,Lakers,false,25,5,13,0,2,0,0,0,3,0,0,0,2,0,-36,10,true
M. Huertas,PG,Lakers,false,8,0,1,0,0,1,2,0,2,0,0,0,1,0,-10,1,true
L. Williams,SG,Lakers,false,20,4,11,1,6,6,6,0,0,1,1,0,2,2,-34,15,true
D. Nowitzki,PF,Mavericks,true,20,5,11,1,3,2,2,1,4,1,1,1,1,2,31,13,false
H. Barnes,SF,Mavericks,true,27,3,12,0,2,0,0,2,3,2,0,0,1,0,15,6,false
D. Williams,PG,Mavericks,true,26,6,9,1,3,0,0,0,5,8,0,0,0,1,20,13,false
W. Matthews,SG,Mavericks,true,14,5,9,3,5,0,0,1,1,2,1,0,1,0,11,13,false
S. Curry,SG,Mavericks,true,27,6,8,2,4,0,0,1,1,3,1,0,1,1,15,14,false
D. Powell,PF,Mavericks,true,19,2,4,1,2,2,2,3,4,3,3,1,0,4,28,7,true
D. Finney-Smith,SF,Mavericks,true,34,1,4,1,4,4,4,3,4,0,1,0,1,1,38,7,true
N. Brussino,SF,Mavericks,true,12,3,4,2,3,0,0,0,2,0,0,0,0,0,14,8,true
S. Mejri,C,Mavericks,true,15,0,1,0,0,2,2,1,4,0,0,2,2,3,5,2,true
D. Harris,PG,Mavericks,true,12,3,5,2,4,2,2,0,2,1,0,0,0,1,21,10,true
P. Jackson,PG,Mavericks,true,18,4,9,1,3,1,1,0,2,5,1,0,0,1,28,10,true
J. Anderson,SG,Mavericks,true,16,5,11,3,6,6,6,1,4,2,1,0,3,1,19,19,true
M. Chriss,PF,Suns,false,17,2,7,0,4,0,0,0,1,0,2,1,2,4,-10,4,false
T. Warren,SF,Suns,false,21,2,6,0,1,0,0,0,3,1,0,0,0,2,1,4,false
T. Chandler,C,Suns,false,35,7,10,0,0,2,2,3,6,2,1,0,2,3,18,16,false
E. Bledsoe,PG,Suns,false,42,11,17,4,7,14,14,0,6,13,0,0,4,3,23,40,false
D. Booker,SG,Suns,false,37,6,14,5,8,3,4,0,4,2,2,0,2,5,12,20,false
D. Bender,PF,Suns,false,4,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,true
A. Williams,PF,Suns,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,true
P.J. Tucker,SF,Suns,false,32,5,10,0,2,1,2,2,8,0,1,0,1,4,16,11,true
A. Len,C,Suns,false,21,2,3,0,0,0,0,1,9,0,0,0,2,2,-3,4,true
T. Ulis,PG,Suns,false,6,2,4,0,0,0,0,0,0,0,0,0,1,1,-11,4,true
B. Knight,PG,Suns,false,24,3,6,0,0,6,6,0,1,1,0,0,1,2,17,12,true
D. Carroll,SF,Raptors,true,32,4,12,2,5,4,4,1,3,0,2,1,2,1,-2,14,false
J. Valanciunas,C,Raptors,true,31,6,10,0,0,4,5,4,8,2,1,3,1,3,-1,16,false
L. Nogueira,C,Raptors,true,35,5,5,1,1,2,2,0,5,1,1,2,1,5,-9,13,false
K. Lowry,PG,Raptors,true,37,5,17,1,9,4,5,0,4,6,1,0,2,4,-6,15,false
D. DeRozan,SG,Raptors,true,37,6,17,0,1,10,11,1,2,4,1,1,2,2,-9,22,false
T. Ross,SF,Raptors,true,25,2,9,1,6,2,2,1,1,2,0,1,0,1,-9,7,true
J. Sullinger,C,Raptors,true,12,3,6,1,2,2,2,0,3,0,2,0,0,0,-4,9,true
C. Joseph,PG,Raptors,true,25,1,5,0,1,1,2,0,2,3,1,0,1,3,-14,3,true
N. Powell,SG,Raptors,true,6,1,2,1,2,1,2,0,0,1,0,0,0,1,-6,4,true
K. Faried,PF,Nuggets,false,14,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,false
N. Jokic,PF,Nuggets,false,27,8,15,0,3,2,2,5,4,4,2,2,4,5,-7,18,false
D. Gallinari,SF,Nuggets,false,35,4,10,2,4,4,4,1,5,4,0,0,1,0,-13,14,false
J. Nelson,PG,Nuggets,false,28,4,9,0,3,1,2,0,2,2,0,0,4,3,-16,9,false
G. Harris,SG,Nuggets,false,35,9,13,2,4,2,2,2,3,3,1,0,2,1,7,22,false
D. Arthur,PF,Nuggets,false,21,4,9,2,6,0,0,1,3,4,0,3,1,4,4,10,true
W. Chandler,SF,Nuggets,false,34,6,11,1,2,4,5,2,4,0,1,1,3,2,-5,17,true
J. Murray,SG,Nuggets,false,20,7,13,0,2,3,4,1,4,3,1,0,0,2,13,17,true
W. Barton,SG,Nuggets,false,26,0,2,0,0,1,2,0,2,6,1,1,2,1,0,1,true
G. Dieng,PF,Timberwolves,true,17,2,3,0,0,0,0,0,1,1,2,1,0,3,-2,4,false
A. Wiggins,SF,Timberwolves,true,39,10,20,1,3,3,4,0,4,4,1,1,2,5,10,24,false
K. Towns,C,Timberwolves,true,40,13,19,0,0,6,8,2,10,7,0,4,6,4,6,32,false
K. Dunn,PG,Timberwolves,true,34,3,8,2,2,2,4,1,7,9,3,1,1,4,14,10,false
Z. LaVine,PG,Timberwolves,true,33,2,8,0,3,0,0,0,2,1,2,0,0,0,-7,4,false
N. Bjelica,PF,Timberwolves,true,19,3,5,0,1,2,2,2,2,1,0,0,1,4,-10,8,true
S. Muhammad,SF,Timberwolves,true,33,9,14,2,5,0,0,3,2,1,1,0,2,1,8,20,true
C. Aldrich,C,Timberwolves,true,6,0,0,0,0,0,0,0,0,1,1,0,1,1,-3,0,true
T. Jones,PG,Timberwolves,true,19,3,8,1,1,2,3,0,0,4,1,1,1,2,-1,9,true
