D. Sabonis,PF,Thunder,false,18,0,5,0,2,0,0,0,3,2,0,0,1,2,1,0,false
A. Roberson,SF,Thunder,false,31,4,6,0,2,0,0,1,10,2,0,0,0,3,6,8,false
S. Adams,C,Thunder,false,37,4,10,0,0,1,2,3,3,1,0,4,2,2,7,9,false
R. Westbrook,PG,Thunder,false,36,11,29,3,7,13,17,1,9,10,4,1,6,3,4,38,false
V. Oladipo,SG,Thunder,false,30,8,11,1,1,1,2,1,3,1,2,0,0,5,18,18,false
J. Grant,SF,Thunder,false,19,1,3,0,1,0,0,0,2,1,0,1,0,1,-6,2,true
J. Lauvergne,C,Thunder,false,11,0,0,0,0,0,0,0,1,0,0,0,1,1,-5,0,true
E. Kanter,C,Thunder,false,29,5,9,0,0,4,4,2,3,0,0,0,0,3,2,14,true
C. Payne,PG,Thunder,false,14,2,6,1,3,0,0,0,1,0,0,0,0,2,-11,5,true
A. Abrines,SG,Thunder,false,13,1,4,1,4,0,0,0,2,0,0,0,0,1,-6,3,true
D. Favors,PF,Jazz,true,27,5,12,0,1,0,0,4,6,0,2,0,2,3,1,10,false
G. Hayward,SF,Jazz,true,36,6,17,2,6,3,3,0,6,1,1,0,0,1,-18,17,false
J. Ingles,SF,Jazz,true,22,3,5,0,0,0,0,0,2,2,3,0,2,2,-6,6,false
R. Gobert,C,Jazz,true,36,5,8,0,0,2,7,2,7,1,0,4,1,3,-9,12,false
G. Hill,PG,Jazz,true,32,2,10,0,4,5,6,0,2,3,1,1,2,3,-13,9,false
T. Lyles,PF,Jazz,true,17,3,9,2,3,1,2,0,4,0,1,1,2,1,14,9,true
J. Johnson,SF,Jazz,true,16,2,6,0,1,1,1,1,2,0,0,0,0,0,14,5,true
B. Diaw,C,Jazz,true,16,3,3,0,0,0,0,0,2,5,1,0,1,1,-11,6,true
D. Exum,PG,Jazz,true,14,3,6,1,4,1,1,0,1,2,1,0,0,1,14,8,true
A. Burks,SG,Jazz,true,25,4,7,0,2,5,6,0,2,2,0,1,0,3,4,13,true
K. Porzingis,PF,Knicks,false,25,3,11,2,6,0,0,0,4,0,1,1,3,6,-7,8,false
C. Anthony,SF,Knicks,false,34,9,17,1,3,7,8,1,4,2,0,1,4,4,-1,26,false
J. Noah,C,Knicks,false,12,1,1,0,0,0,2,1,5,1,0,0,0,2,2,2,false
D. Rose,PG,Knicks,false,40,7,16,0,1,6,6,0,3,6,0,0,4,1,8,20,false
C. Lee,SG,Knicks,false,25,3,7,1,3,7,7,1,3,1,1,0,0,2,-6,14,false
M. Kuzminskas,SF,Knicks,false,11,0,1,0,0,0,0,0,3,0,0,1,1,0,-9,0,true
K. O'Quinn,C,Knicks,false,8,1,1,0,0,1,2,0,3,1,1,0,0,1,11,3,true
W. Hernangomez,C,Knicks,false,24,5,8,0,0,4,4,2,8,2,1,2,0,1,12,14,true
B. Jennings,PG,Knicks,false,29,2,5,1,2,4,4,0,2,6,1,0,2,3,6,9,true
J. Holiday,SG,Knicks,false,32,4,9,3,7,2,2,1,2,0,3,2,0,1,14,13,true
T. Young,PF,Pacers,true,31,2,6,1,1,0,0,1,2,3,3,0,0,4,-10,5,false
C.J. Miles,SF,Pacers,true,34,4,14,2,9,0,0,1,2,1,1,1,0,0,-1,10,false
P. George,SF,Pacers,true,39,11,24,3,10,6,7,1,6,3,2,0,3,3,1,31,false
M. Turner,C,Pacers,true,28,8,12,0,2,6,6,2,8,0,0,2,1,4,2,22,false
J. Teague,PG,Pacers,true,36,3,9,1,3,0,2,0,4,7,0,0,3,4,-2,7,false
A. Jefferson,C,Pacers,true,19,5,8,0,0,3,4,1,2,0,0,1,1,2,-6,13,true
K. Seraphin,C,Pacers,true,5,1,2,0,0,0,0,1,1,0,0,0,0,0,1,2,true
J. Young,PG,Pacers,true,6,0,2,0,0,1,2,0,0,1,0,0,0,0,-5,1,true
M. Ellis,SG,Pacers,true,24,1,6,0,1,4,4,0,3,3,0,0,2,0,6,6,true
G. Robinson III,SG,Pacers,true,18,3,3,0,0,0,0,1,2,0,2,0,1,3,-16,6,true
K. Love,PF,Cavaliers,false,38,7,15,1,5,7,8,6,10,6,0,0,3,1,7,22,false
L. James,SF,Cavaliers,false,44,11,21,1,4,3,4,2,8,12,2,0,6,2,-10,26,false
T. Thompson,C,Cavaliers,false,28,1,5,0,0,0,0,2,5,0,0,1,0,3,-2,2,false
K. Irving,PG,Cavaliers,false,42,15,28,8,14,11,11,0,2,4,2,1,0,4,12,49,false
I. Shumpert,SG,Cavaliers,false,28,4,10,2,6,0,0,0,2,2,1,0,0,1,-3,10,false
C. Frye,PF,Cavaliers,false,5,1,4,1,3,0,0,1,0,0,0,1,0,2,-7,3,true
R. Jefferson,SF,Cavaliers,false,22,2,5,1,3,0,2,0,2,0,0,0,1,6,0,5,true
D. Liggins,SG,Cavaliers,false,8,0,1,0,0,0,0,0,1,0,1,0,1,1,-14,0,true
K. Korver,SG,Cavaliers,false,26,2,4,1,2,0,0,0,4,0,0,0,0,0,7,5,true
D. Cunningham,PF,Pelicans,true,31,4,10,2,7,1,2,1,5,2,0,1,0,3,-10,11,false
T. Jones,PF,Pelicans,true,36,13,18,3,4,7,10,3,8,1,2,3,1,1,-2,36,false
