P. Millsap,PF,Hawks,false,39,5,18,1,5,6,10,1,6,6,3,3,3,4,5,17,false
T. Sefolosha,SF,Hawks,false,22,1,4,1,2,0,0,0,4,1,2,0,0,4,-8,3,false
K. Bazemore,SF,Hawks,false,32,5,13,2,8,4,4,1,5,5,1,0,1,1,2,16,false
D. Schroder,PG,Hawks,false,34,13,16,1,2,1,1,1,2,3,0,0,2,0,-2,28,false
T. Hardaway Jr.,SG,Hawks,false,35,9,16,2,7,0,0,1,2,4,1,0,1,2,2,20,false
M. Scott,PF,Hawks,false,10,1,5,1,2,0,0,1,1,1,0,0,0,0,4,3,true
K. Humphries,PF,Hawks,false,24,3,5,3,3,5,8,3,4,1,1,0,1,2,4,14,true
T. Prince,SF,Hawks,false,7,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,true
M. Delaney,PG,Hawks,false,19,2,4,1,1,0,0,0,1,5,2,0,1,1,-2,5,true
M. Dunleavy,SG,Hawks,false,19,0,5,0,2,0,0,0,3,0,1,0,1,0,-3,0,true
C. Anthony,SF,Knicks,true,35,10,16,2,4,8,11,2,5,2,1,0,5,5,-2,30,false
M. Kuzminskas,SF,Knicks,true,38,6,10,1,5,1,1,1,4,2,2,0,1,3,2,14,false
J. Noah,C,Knicks,true,33,2,3,0,0,3,5,7,10,3,1,2,1,5,0,7,false
D. Rose,PG,Knicks,true,32,8,16,0,0,2,4,1,3,9,1,1,6,4,3,18,false
R. Baker,SG,Knicks,true,22,4,9,4,7,0,0,1,2,1,2,0,1,4,-2,12,false
K. O'Quinn,C,Knicks,true,16,3,10,0,0,0,0,2,6,2,0,0,1,1,-1,6,true
B. Jennings,PG,Knicks,true,20,1,4,0,3,0,0,0,3,1,1,0,2,0,-6,2,true
J. Holiday,SG,Knicks,true,23,5,10,0,3,1,2,1,3,0,0,0,0,0,1,11,true
C. Lee,SG,Knicks,true,21,3,7,1,4,0,0,0,2,1,0,0,1,0,0,7,true
A. Aminu,SF,Trail Blazers,false,25,5,9,0,1,2,2,2,3,1,0,0,2,0,-15,12,false
M. Harkless,SF,Trail Blazers,false,19,0,5,0,3,0,0,0,1,1,1,1,1,3,-31,0,false
M. Plumlee,C,Trail Blazers,false,21,2,7,0,0,3,3,2,3,3,1,2,2,2,-8,7,false
D. Lillard,PG,Trail Blazers,false,28,6,17,4,8,6,6,2,5,4,0,1,2,1,-15,22,false
C.J. McCollum,SG,Trail Blazers,false,23,5,12,1,3,1,2,1,1,2,2,1,2,3,-36,12,false
M. Leonard,PF,Trail Blazers,false,22,4,7,0,1,0,0,2,2,1,0,0,0,1,9,8,true
E. Davis,PF,Trail Blazers,false,5,0,0,0,0,2,2,0,0,0,0,0,1,1,-17,2,true
N. Vonleh,PF,Trail Blazers,false,20,4,5,0,0,2,5,2,6,1,0,0,0,1,8,10,true
J. Layman,SF,Trail Blazers,false,11,1,4,0,3,1,2,0,2,0,0,0,1,1,6,3,true
S. Napier,PG,Trail Blazers,false,16,2,7,0,2,0,0,1,3,2,2,0,2,0,11,4,true
E. Turner,SG,Trail Blazers,false,21,5,8,2,2,2,2,1,2,1,0,0,1,2,-9,14,true
A. Crabbe,SG,Trail Blazers,false,25,2,6,1,3,0,1,1,2,5,0,0,1,4,-1,5,true
P. Connaughton,SG,Trail Blazers,false,5,1,1,0,0,0,0,0,1,1,0,0,0,1,3,2,true
M. Morris,PF,Wizards,true,33,6,9,1,2,4,4,0,13,5,2,2,0,3,26,17,false
O. Porter Jr.,SF,Wizards,true,30,4,9,3,5,1,3,0,4,0,1,0,1,1,13,12,false
M. Gortat,C,Wizards,true,27,3,9,0,0,0,0,2,4,0,0,2,1,2,1,6,false
J. Wall,PG,Wizards,true,28,10,17,2,3,2,2,1,3,7,2,0,4,0,16,24,false
B. Beal,SG,Wizards,true,29,7,11,3,3,8,8,1,1,5,3,0,1,2,12,25,false
D. Ochefu,PF,Wizards,true,3,0,1,0,0,0,0,0,3,0,1,0,0,1,-4,0,true
J. Smith,PF,Wizards,true,18,1,4,0,0,2,2,1,1,1,0,0,0,5,22,4,true
K. Oubre Jr.,SF,Wizards,true,28,5,8,3,4,5,5,3,1,2,0,1,2,3,2,18,true
T. Burke,PG,Wizards,true,20,2,8,0,2,0,0,0,1,3,0,0,1,1,3,4,true
T. Satoransky,SG,Wizards,true,19,4,7,1,3,1,1,3,7,3,1,0,2,0,7,10,true
S. McClellan,SG,Wizards,true,5,0,3,0,1,0,0,1,1,0,0,0,0,0,-3,0,true
E. Ilyasova,PF,76ers,false,28,4,14,2,7,2,2,1,3,3,0,0,2,3,9,12,false
R. Covington,SF,76ers,false,28,4,8,2,6,1,2,2,4,4,0,2,0,4,15,11,false
J. Embiid,C,76ers,false,28,4,9,1,3,13,18,3,10,2,2,5,4,3,13,22,false
S. Rodriguez,PG,76ers,false,32,4,10,1,6,1,1,0,5,6,1,0,3,1,16,10,false
N. Stauskas,SG,76ers,false,20,2,5,2,3,0,0,1,2,2,1,1,1,1,7,6,false
D. Saric,PF,76ers,false,24,6,11,2,5,3,3,2,7,4,1,0,3,1,-9,17,true
J. Okafor,C,76ers,false,20,4,5,0,0,2,2,0,2,1,1,0,1,1,-4,10,true
C. Randle,PG,76ers,false,16,3,6,2,4,2,2,0,2,1,1,0,0,5,-7,10,true
T. Luwawu-Cabarrot,SG,76ers,false,17,1,3,0,0,2,2,2,1,0,0,0,2,1,12,4,true
G. Henderson,SG,76ers,false,28,3,7,2,3,3,4,2,2,2,1,1,2,3,-7,11,true
J. Parker,PF,Bucks,true,35,9,17,2,4,3,5,0,5,1,2,0,2,3,-7,23,false
G. Antetokounmpo,SF,Bucks,true,29,10,19,0,1,3,5,2,4,2,2,3,3,6,0,23,false
J. Henson,C,Bucks,true,26,3,8,0,0,2,2,2,3,4,0,1,0,3,2,8,false
T. Snell,SG,Bucks,true,29,2,2,1,1,0,0,0,4,1,0,0,0,2,-7,5,false
