Stephen Curry,GSW,PG,39.92,4.62,6.38,5.72,8.03,2.03,0.24,3.28,32.15
Kevin Durant,GSW,SF,38.83,8.75,2.52,9.35,5.76,1.21,1.54,2.99,31.83
Damian Lillard,POR,PG,39.19,5.80,3.68,5.22,6.60,1.02,0.44,3.52,28.96
Isaiah Thomas,BOS,PG,36.08,5.27,3.64,2.98,5.88,0.76,0.10,3.09,28.14
Russell Westbrook,OKC,PG,35.21,8.13,2.23,10.05,9.28,1.71,0.26,6.55,28.04
Anthony Davis,NO,C,33.50,9.26,0.29,10.52,2.06,1.50,2.25,2.47,26.39
Kemba Walker,CHA,PG,35.35,5.18,3.09,4.82,6.01,1.42,0.29,2.74,24.62
CJ McCollum,POR,SG,32.30,6.20,2.51,3.30,3.54,1.25,0.56,2.49,23.24
Kawhi Leonard,SA,SF,34.29,5.51,1.98,6.56,3.20,1.72,0.79,2.25,22.93
Blake Griffin,LAC,PF,33.51,8.45,0.05,7.92,4.03,1.06,0.38,2.37,21.94
John Wall,WAS,PG,33.65,7.05,1.02,4.91,10.07,1.98,0.52,4.19,21.85
LaMarcus Aldridge,SA,PF,35.32,8.02,0.07,8.56,2.05,0.72,1.09,1.73,20.91
Wilson Chandler,DEN,SF,37.70,6.24,1.89,8.16,2.81,1.29,0.54,2.59,20.90
Nikola Jokic,DEN,C,34.40,7.72,0.45,11.03,4.98,1.38,0.82,2.71,20.54
Bradley Beal,WAS,SG,30.09,4.53,2.77,3.17,3.32,1.14,0.18,2.10,20.46
Eric Bledsoe,PHX,PG,32.12,4.90,1.87,4.91,6.57,1.33,0.45,3.59,20.08
Devin Booker,PHX,SG,32.83,5.07,2.14,2.94,3.64,0.76,0.23,3.02,20.03
Giannis Antetokounmpo,MIL,SG,32.92,6.90,0.34,8.09,5.45,1.35,1.49,2.80,19.71
Paul George,IND,SF,38.08,4.72,2.24,6.82,3.72,1.51,0.34,3.13,19.65
Dennis Schroder,ATL,PG,32.11,6.08,1.31,3.40,6.30,0.90,0.15,3.72,19.38
