Russell Westbrook,OKC,PG,4th,45,87.6,34.1,37.80,63.24,79
James Harden,HOU,PG,16th,34.7,78.5,35.9,35.89,53.48,77
DeMarcus Cousins,SAC,PF,6th,30.4,72.2,34.1,34.34,48.28,76
LeBron James,CLE,SF,2nd,25.3,59.8,37.2,34.20,40.08,80
Giannis Antetokounmpo,MIL,PG,30th,27.9,69.8,34.8,35.28,45.86,74
Anthony Davis,NOP,C,19th,29.9,84.7,35.8,39.96,53.35,69
Kevin Durant,GSW,SF,11th,35.4,66.7,33.7,34.34,48.80,81
Isaiah Thomas,BOS,PG,11th,34.1,65.6,34.1,35.52,47.56,79
Karl-Anthony Towns,MIN,C,19th,36.6,73.1,35.9,41.42,52.23,77
Stephen Curry,GSW,PG,13th,35,70.6,33.0,34.32,50.24,76
Blake Griffin,LAC,PF,10th,28.7,60.9,32.9,32.90,42.51,78
Kawhi Leonard,SAS,SF,22nd,38.5,69.9,33.2,36.72,51.96,79
Damian Lillard,POR,PG,2nd,18.7,56,35.5,34.20,34.68,74
Kyle Lowry,TOR,PG,18th,28.2,61.3,37.1,39.14,42.35,77
DeMar DeRozan,TOR,SG,23rd,34.1,64.5,35.0,39.24,47.13,78
Nikola Jokic,DEN,PF,15th,36.1,89.3,26.4,37.08,58.88,56
Kyrie Irving,CLE,PG,16th,23.8,59.8,34.7,36.05,39.22,73
Eric Bledsoe,PHX,PG,26th,28.8,71.1,32.7,35.70,46.91,68
Paul George,IND,SF,13th,27.4,55.4,35.1,36.72,39.40,78
Kemba Walker,CHA,PG,19th,26.5,60.7,33.6,39.59,41.13,74
Hassan Whiteside,MIA,C,14th,21,64.5,32.4,33.92,39.65,67
Carmelo Anthony,NYK,SF,27th,19.1,59.3,33.5,34.30,36.36,69
Goran Dragic,MIA,PG,15th,21.2,55.3,33.8,34.00,35.80,72
Jrue Holiday,NOP,PG,1st,23.1,59.5,31.8,34.56,38.71,70
Gordon Hayward,UTA,SF,3rd,17.8,52.9,34.2,35.36,32.81,72
Paul Millsap,ATL,PF,21st,28.3,67.3,32.6,36.40,44.99,70
Marc Gasol,MEM,C,22nd,23.6,61.6,33.9,34.34,39.87,71
Jeff Teague,IND,PG,17th,16.9,54.1,32.1,32.34,32.83,69
Andre Drummond,DET,C,3rd,24.6,64,30.2,32.32,41.47,69
Draymond Green,GSW,PF,11th,28.1,58.8,32.7,33.99,41.26,76
Nicolas Batum,CHA,SG,6th,24.8,56.2,34.2,38.48,38.29,74
Andrew Wiggins,MIN,SF,21st,17.9,56.8,36.7,34.04,34.55,66
C.J. McCollum,POR,SG,1st,13.1,50.6,34.3,32.55,29.20,70
Kristaps Porzingis,NYK,PF,23rd,15.8,52.7,32.5,32.34,31.60,69
Mike Conley,MEM,PG,24th,21.4,56.7,32.2,31.28,36.54,71
Rudy Gobert,UTA,C,28th,28.2,58.2,33.1,35.02,41.01,75
LaMarcus Aldridge,SAS,PF,22nd,19.2,50.7,31.9,33.92,32.66,71
Wilson Chandler,DEN,SF,12th,14,55,30.5,33.12,31.56,59
Klay Thompson,GSW,SG,5th,24.8,58.4,33.8,35.97,39.17,70
Nikola Vucevic,ORL,C,7th,16.9,53,28.1,29.14,32.35,68
Devin Booker,PHX,SG,17th,18.9,50.7,34.1,34.04,32.51,69
Brook Lopez,BKN,C,21st,22.1,55.2,29.0,31.20,36.25,72
Al Horford,BOS,C,2nd,23.1,53.9,32.6,35.36,36.31,74
Dennis Schroder,ATL,PG,14th,14.2,50.1,30.4,31.93,29.54,66
DeAndre Jordan,LAC,C,12th,18.8,50.9,30.9,28.50,32.55,73
D'Angelo Russell,LAL,PG,28th,9.8,51.7,25.9,24.10,27.79,56
Harrison Barnes,DAL,PF,8th,16.6,45.2,35.3,38.16,28.85,73
James Johnson,MIA,PF,29th,15.2,49.1,26.0,29.14,29.72,62
George Hill,UTA,PG,10th,15.8,51.7,31.1,34.98,31.17,65
Dwight Howard,ATL,C,20th,17.1,55.1,29.2,32.40,33.40,67
Jae Crowder,BOS,SF,10th,19.1,45.2,31.8,31.28,30.28,72
Myles Turner,IND,C,1st,14,45.6,30.2,34.56,27.54,71
Julius Randle,LAL,PF,20th,8.9,45.7,27.8,26.88,24.68,62
Victor Oladipo,OKC,SG,9th,15.8,50.5,33.1,34.65,30.63,64
Zach Randolph,MEM,PF,25th,10.7,37.6,23.8,21.34,22.19,71
Ricky Rubio,MIN,PG,29th,23.2,58.5,31.6,36.04,38.35,64
Dion Waiters,MIA,SG,30th,23.4,63.7,30.1,35.02,40.69,58
Derrick Rose,NYK,PG,8th,12.2,46,31.6,28.80,26.70,66
Mason Plumlee,DEN,PF,15th,15.5,46.7,27.6,26.75,28.86,69
Robert Covington,PHI,SF,18th,16.4,52.4,30.7,32.90,31.85,60
Ersan Ilyasova,PHI,PF,5th,8.7,42.8,26.7,23.00,23.30,62
Marcus Morris,DET,SF,14th,12.9,45.7,32.5,31.02,26.96,62
Steven Adams,OKC,C,24th,15.8,44.1,30.3,34.78,27.93,69
Louis Williams,LAL,SG,10th,14.3,51.6,23.8,23.20,30.32,61
Will Barton,DEN,SG,3rd,14.3,53.6,28.4,32.40,31.14,57
Tobias Harris,DET,PF,14th,11,41.9,31.3,27.16,24.28,67
Reggie Jackson,DET,PG,5th,11.1,43,27.9,28.00,24.75,65
Trevor Ariza,HOU,SF,9th,11.9,38.6,34.2,33.48,23.37,71
Seth Curry,DAL,SG,6th,8,39.2,27.7,28.13,21.41,58
Elfrid Payton,ORL,PG,7th,6.3,47.4,28.6,28.00,23.94,57
Wesley Matthews,DAL,SF,13th,16.1,44.1,34.8,32.90,28.10,70
Evan Fournier,ORL,SG,20th,8.7,41.7,32.5,31.68,22.87,64
Austin Rivers,LAC,PG,22nd,14,47,27.9,35.28,28.12,53
Deron Williams,DAL,PG,6th,1.8,34.3,28.7,17.28,15.74,65
Kentavious Caldwell-Pope,DET,SG,6th,6.6,47,33.2,34.92,23.92,54
Clint Capela,HOU,C,13th,22.1,48.7,23.0,28.28,33.51,70
Aaron Gordon,ORL,SF,13th,7.5,38.8,27.1,30.60,20.90,58
Ryan Anderson,HOU,PF,7th,4.1,39.6,30.4,30.38,19.29,56
Tyler Johnson,MIA,PG,30th,20.1,49.6,30.2,31.62,32.70,69
Gorgui Dieng,MIN,PF,19th,17.2,45.2,31.6,33.92,29.17,69
Patrick Beverley,HOU,SG,27th,17.9,43.7,30.5,32.86,28.95,72
Tyson Chandler,PHX,C,29th,15.5,47.4,27.3,28.34,29.16,62
Jonas Valanciunas,TOR,C,9th,12.7,43.4,26.6,26.46,25.82,67
