Rondae Hollis-Jefferson,22.03
Willie Cauley-Stein,29.86
Sean Kilpatrick,19.18
Spencer Dinwiddie,18.74
Nene Hilario,17.85
Tyreke Evans,24.29
J.J. Redick,22.98
Caris LeVert,15.6
Kosta Koufos,18.32
Joe Harris,15.02
Justin Hamilton,14.88
Ty Lawson,20.59
Darren Collison,30.83
Buddy Hield,18.96
Sam Dekker,13.74
DeAndre Jordan,34.04
Louis Williams,28.34
Isaiah Whitehead,13.41
Eric Gordon,21.5
Anthony Tolliver,15.89
Marreese Speights,13.01
Skal Labissiere,12.85
Ben McLemore,16.7
Trevor Booker,22.96
Patrick Beverley,24.07
Clint Capela,20.93
Trevor Ariza,23.96
Ryan Anderson,22.61
Raymond Felton,13.14
Randy Foye,11.78
Jamal Crawford,16.41
Luc Richard Mbah a Moute,10.65
Blake Griffin,45.19
Brook Lopez,29.51
Chris Paul,44.73
Arron Afflalo,10.06
Austin Rivers,18.15
Jeremy Lin,16.59
James Harden,52.23
Montrezl Harrell,7.7
Brandon Bass,6.42
Langston Galloway,5.89
Wesley Johnson,5.35
Georgios Papagiannis,2.22
