James Harden,50.4,55.1,42.6,67.6,52.6,52.6
Giannis Antetokounmpo,45.2,47.5,37.0,58.0,48.6,48.6
LeBron James,50.7,49.7,40.1,59.3,47.6,47.6
DeMar DeRozan,38.5,40.2,30.6,49.7,47.1,47.1
Chris Paul,42.4,42.3,32.6,52.0,45.7,45.7
Damian Lillard,45.7,42.5,32.7,52.4,44.9,44.9
Blake Griffin,42.1,41.4,31.5,51.3,44.6,44.6
Jimmy Butler,41.4,42.4,28.9,55.9,43.7,43.7
Karl-Anthony Towns,53.4,45.7,35.4,56.0,42.5,42.5
Nikola Jokic,34.0,34.8,19.5,50.2,41.9,41.9
Kawhi Leonard,39.9,42.1,33.4,50.8,41.6,41.6
Kemba Walker,43.0,38.6,29.0,48.2,40.4,40.4
Kyrie Irving,43.2,38.9,28.6,49.2,39.8,39.8
Hassan Whiteside,40.0,38.7,26.7,50.7,39.8,39.8
Marc Gasol,39.7,38.7,28.7,48.7,39.2,39.2
Andre Drummond,32.4,37.1,26.4,47.8,38.8,38.8
C.J. McCollum,32.3,35.9,25.6,46.3,38.6,38.6
Jusuf Nurkic,33.8,19.3,7.3,31.3,38.0,38.0
Mike Conley,37.9,35.8,25.4,46.2,37.5,37.5
Goran Dragic,33.1,35.5,27.0,44.0,36.5,36.5
Nicolas Batum,29.6,34.2,25.4,43.0,36.3,36.3
Dwyane Wade,34.0,33.7,24.3,43.1,35.2,35.2
DeAndre Jordan,34.2,33.4,24.2,42.6,34.7,34.7
Brook Lopez,33.9,34.6,25.0,44.1,33.4,33.4
Serge Ibaka,31.6,29.6,19.9,39.3,32.8,32.8
Andrew Wiggins,39.7,33.8,22.8,44.8,32.8,32.8
LaMarcus Aldridge,28.6,31.6,22.7,40.5,31.3,31.3
Dario Saric,34.6,22.2,12.3,32.1,31.0,31.0
Wilson Chandler,27.9,28.7,17.5,39.9,30.8,30.8
Khris Middleton,24.3,22.2,10.8,33.6,30.3,30.3
Ricky Rubio,32.6,28.9,19.2,38.7,30.2,30.2
Zach Randolph,26.4,27.5,20.5,34.4,30.1,30.1
James Johnson,24.3,25.8,16.4,35.1,29.6,29.6
Robert Covington,40.0,27.7,16.9,38.5,29.5,29.5
Gary Harris,29.3,24.7,17.1,32.4,29.0,29.0
Danilo Gallinari,28.5,28.3,21.7,35.0,28.6,28.6
Marcus Morris,32.3,25.6,15.5,35.7,28.5,28.5
Kentavious Caldwell-Pope,30.6,26.1,14.6,37.6,27.7,27.7
Lou Williams,29.3,27.8,17.1,38.6,27.5,27.5
Marvin Williams,26.4,22.7,15.4,30.1,27.3,27.3
T.J. McConnell,26.1,21.0,12.2,29.8,27.2,27.2
Moe Harkless,25.0,21.9,14.1,29.6,27.2,27.2
Pau Gasol,23.7,28.0,18.5,37.6,26.6,26.6
Cody Zeller,23.4,23.3,16.8,29.8,26.6,26.6
Greg Monroe,28.6,25.9,15.8,36.0,26.5,26.5
Al-Farouq Aminu,27.2,23.2,15.7,30.6,26.0,26.0
Reggie Jackson,20.7,25.9,16.8,34.9,25.9,25.9
Tristan Thompson,26.9,24.1,15.3,32.9,25.8,25.8
Tyler Johnson,28.7,28.1,20.2,36.0,25.5,25.5
Bobby Portis,24.5,11.0,2.5,19.5,25.3,25.3
Patrick Beverley,33.6,26.9,19.3,34.6,25.1,25.1
Clint Capela,24.1,25.4,18.4,32.5,24.4,24.4
Trevor Ariza,19.7,26.3,18.6,33.9,24.0,24.0
Eric Gordon,20.4,26.3,18.1,34.6,23.8,23.8
Tobias Harris,23.6,26.9,18.3,35.6,23.7,23.7
Michael Kidd-Gilchrist,26.3,23.3,15.3,31.3,23.2,23.2
Will Barton,22.7,26.1,15.1,37.1,23.2,23.2
Cory Joseph,20.1,17.3,9.7,24.9,23.1,23.1
Jameer Nelson,27.1,20.4,10.1,30.7,23.0,23.0
Dion Waiters,31.5,29.3,18.5,40.0,22.8,22.8
J.J. Redick,20.1,21.5,13.2,29.8,22.8,22.8
Trevor Booker,23.8,25.7,17.8,33.6,22.7,22.7
Jon Leuer,22.3,22.0,14.0,30.0,22.7,22.7
Richaun Holmes,24.3,16.3,7.0,25.6,22.2,22.2
Malcolm Brogdon,24.2,21.1,12.4,29.8,21.8,21.8
Ryan Anderson,26.5,23.9,14.1,33.6,21.4,21.4
Gorgui Dieng,21.8,25.9,18.1,33.8,20.9,20.9
Mason Plumlee,19.6,28.9,20.0,37.8,20.6,20.6
Jeremy Lin,19.8,26.4,17.5,35.4,19.9,19.9
Robin Lopez,22.1,21.9,14.4,29.4,19.8,19.8
Tony Allen,20.6,21.0,12.6,29.4,19.8,19.8
Tony Parker,19.6,20.4,13.0,27.8,19.8,19.8
DeMarre Carroll,17.6,18.9,9.9,27.8,19.5,19.5
Austin Rivers,24.5,20.5,11.1,30.0,19.2,19.2
Nemanja Bjelica,21.6,13.3,3.9,22.7,18.6,18.6
Danny Green,18.2,18.2,12.2,24.2,18.6,18.6
Jahlil Okafor,17.6,20.7,12.3,29.1,18.5,18.5
Nene Hilario,23.6,16.8,10.3,23.3,18.4,18.4
Patty Mills,18.6,18.1,10.3,25.9,18.4,18.4
Nik Stauskas,17.2,16.9,10.2,23.7,18.3,18.3
Rondae Hollis-Jefferson,23.2,19.3,11.4,27.1,18.3,18.3
Caris LeVert,14.9,15.2,6.9,23.4,17.7,17.7
Sean Kilpatrick,17.0,21.6,10.7,32.4,17.6,17.6
Jonas Valanciunas,21.3,26.2,17.9,34.6,17.4,17.4
Josh Richardson,14.6,21.3,11.7,31.0,17.4,17.4
Vince Carter,14.5,17.4,10.1,24.6,17.4,17.4
Allen Crabbe,11.7,16.7,8.8,24.6,17.2,17.2
Ish Smith,25.0,20.3,11.2,29.3,17.1,17.1
Derrick Williams,18.2,12.8,6.3,19.2,17.0,17.0
Tony Snell,15.2,15.8,9.0,22.5,17.0,17.0
Channing Frye,15.3,16.8,8.5,25.1,16.9,16.9
Dewayne Dedmon,22.0,16.4,7.5,25.3,16.9,16.9
Spencer Dinwiddie,26.5,16.8,8.4,25.2,16.8,16.8
