Russell Westbrook,62.3,61.2,49.8,72.5,61.0,61.0
James Harden,56.6,55.6,43.1,68.1,55.9,55.9
LeBron James,45.1,50.3,40.4,60.1,49.8,49.8
Anthony Davis,54.5,52.6,39.3,66.0,48.8,48.8
Stephen Curry,51.2,43.4,33.9,52.9,47.9,47.9
DeMarcus Cousins,50.9,50.5,38.1,62.9,47.7,47.7
Kawhi Leonard,39.6,42.4,32.4,52.4,45.7,45.7
Giannis Antetokounmpo,49.3,46.8,35.6,57.9,44.6,44.6
Isaiah Thomas,40.4,42.5,33.8,51.3,42.5,42.5
Nikola Jokic,40.8,36.0,21.3,50.6,42.5,42.5
Kemba Walker,39.3,38.5,28.7,48.4,41.9,41.9
DeMar DeRozan,47.3,39.9,29.7,50.2,40.8,40.8
Klay Thompson,32.0,32.4,22.3,42.5,40.4,40.4
Kyrie Irving,40.7,39.6,29.2,49.9,39.4,39.4
John Wall,54.0,46.7,37.6,55.8,39.4,39.4
Rudy Gobert,49.2,36.4,26.9,46.0,38.6,38.6
Mike Conley,38.3,37.1,27.0,47.2,38.0,38.0
Gordon Hayward,33.6,35.8,26.2,45.4,37.3,37.3
Kevin Love,28.7,37.8,27.7,47.8,36.8,36.8
Draymond Green,30.7,36.0,26.3,45.7,36.6,36.6
Kristaps Porzingis,35.8,33.8,23.5,44.2,36.4,36.4
Paul George,46.0,38.0,29.2,46.7,36.3,36.3
Hassan Whiteside,37.9,38.8,27.7,49.8,36.0,36.0
Nikola Vucevic,40.7,34.1,24.1,44.1,35.3,35.3
Goran Dragic,33.7,35.6,27.2,44.1,35.0,35.0
Elfrid Payton,34.0,28.7,16.2,41.2,34.9,34.9
Dario Saric,30.1,24.7,13.9,35.6,33.8,33.8
LaMarcus Aldridge,36.5,32.0,23.3,40.7,33.7,33.7
Jrue Holiday,35.4,33.7,23.4,44.0,33.1,33.1
Al Horford,35.6,33.8,24.7,42.8,32.9,32.9
Jeff Teague,37.0,33.5,23.7,43.4,32.7,32.7
Zach Randolph,25.6,26.8,19.2,34.3,32.2,32.2
Andre Drummond,29.1,36.4,25.9,46.9,31.9,31.9
Bradley Beal,34.7,34.8,25.0,44.6,31.6,31.6
Myles Turner,32.6,30.6,21.9,39.4,31.2,31.2
Khris Middleton,26.7,27.9,19.3,36.6,30.4,30.4
T.J. McConnell,25.7,22.1,13.8,30.4,30.4,30.4
Nicolas Batum,26.6,33.6,24.8,42.3,29.8,29.8
Wilson Chandler,23.4,28.8,17.0,40.6,29.7,29.7
Richaun Holmes,23.7,19.4,8.6,30.1,29.5,29.5
Gary Harris,26.8,25.6,17.3,33.9,29.5,29.5
Jae Crowder,29.0,26.8,18.8,34.8,28.8,28.8
Victor Oladipo,28.3,28.7,20.4,37.0,28.4,28.4
Marvin Williams,28.9,24.7,15.8,33.7,28.4,28.4
Dirk Nowitzki,25.5,27.6,19.0,36.1,28.1,28.1
Guillermo Hernangomez,28.5,18.4,6.4,30.3,28.1,28.1
James Johnson,28.8,26.5,16.9,36.1,28.1,28.1
Trevor Ariza,33.8,26.6,18.6,34.5,27.9,27.9
Lou Williams,21.9,26.9,15.6,38.1,27.7,27.7
Clint Capela,28.4,26.1,19.2,33.0,27.7,27.7
Danilo Gallinari,31.1,28.7,22.2,35.2,27.7,27.7
