Noah Vonleh,23.96,POR,PF,@ MIN,41.58,4,215.5,108,106.75,-0.75,15.5,101.32,13.04,32.50,34.74,13.18,2.4
Kris Dunn,21.67,MIN,PG,POR,43.06,9,215.5,-128,108.75,-0.75,16.7,98.32,15.06,27.80,31.42,11.92,2.17
Allen Crabbe,19.15,POR,SG,@ MIN,38.37,13,215.5,108,106.75,-0.75,27.8,101.32,14.20,27.20,29.49,8.81,1.92
Evan Turner,21.05,POR,SF,@ MIN,37.48,5,215.5,108,106.75,-0.75,25.0,101.32,18.72,24.10,27.58,14.52,1.91
Al-Farouq Aminu,25.7,POR,PF,@ MIN,41.58,4,215.5,108,106.75,-0.75,28.1,101.32,15.00,28.50,36.24,15.16,1.84
Moe Harkless,18.59,POR,SF,@ MIN,37.48,5,215.5,108,106.75,-0.75,28.4,101.32,14.91,25.30,24.17,13.01,1.69
Gorgui Dieng,30.21,MIN,PF,POR,46.58,28,215.5,-128,108.75,-0.75,31.7,98.32,13.93,35.20,41.39,19.03,1.44
Shabazz Muhammad,14.44,MIN,SF,POR,38.72,11,215.5,-128,108.75,-0.75,19.0,98.32,19.59,15.40,21.37,7.51,1.44
Tyus Jones,14.03,MIN,SG,POR,38.68,17,215.5,-128,108.75,-0.75,13.3,98.32,15.58,12.40,20.48,7.58,1.4
Meyers Leonard,13.82,POR,C,@ MIN,48.78,21,215.5,108,106.75,-0.75,15.2,101.32,15.93,24.50,21.56,6.08,1.38
Omri Casspi,11.68,MIN,PF,POR,46.58,28,215.5,-128,108.75,-0.75,17.0,98.32,15.11,15.10,15.88,7.48,1.17
Andrew Wiggins,34.09,MIN,SF,POR,38.72,11,215.5,-128,108.75,-0.75,36.8,98.32,26.85,36.50,48.41,19.77,1.07
Ricky Rubio,36.96,MIN,PG,POR,43.06,9,215.5,-128,108.75,-0.75,32.2,98.32,19.13,35.70,53.59,20.33,1
Brandon Rush,10.02,MIN,SG,POR,38.68,17,215.5,-128,108.75,-0.75,20.5,98.32,9.84,20.30,13.23,6.81,1
Karl-Anthony Towns,48.9,MIN,C,POR,49.20,22,215.5,-128,108.75,-0.75,36.5,98.32,26.11,37.60,65.53,32.27,0.96
Damian Lillard,45.61,POR,PG,@ MIN,43.49,13,215.5,108,106.75,-0.75,35.2,101.32,31.18,35.30,59.75,31.47,0.95
Timothe Luwawu-Cabarrot,26.63,PHI,SG,BKN,41.92,29,222.5,105,110.5,-0.25,15.5,102.22,17.29,35.95,35.68,17.58,2.66
Kyle O'Quinn,25.78,NYK,C,CHI,44.52,4,203.5,135,100.25,-1.5,14.8,101.39,19.12,28.84,40.22,11.34,2.58
Robin Lopez,27.1,CHI,C,@ NYK,50.70,27,203.5,-155,103.25,-2,27.5,98.73,16.59,29.22,42.82,11.38,2.46
Jamal Murray,24,DEN,PG,@ NOP,46.39,25,228.0,110,113,-0.5,20.0,102.68,22.13,27.85,33.60,14.40,2.4
Noah Vonleh,22.32,POR,PF,@ UTA,39.86,1,201.5,205,97.75,-1.25,15.5,101.32,13.04,22.17,32.36,12.28,2.23
Nik Stauskas,22.08,PHI,SG,BKN,41.92,29,222.5,105,110.5,-0.25,26.9,102.22,16.27,29.21,28.70,15.46,2.21
Shawn Long,21.88,PHI,PF,BKN,47.32,29,222.5,105,110.5,-0.25,13.5,102.22,22.84,15.79,29.98,13.78,2.19
Rondae Hollis-Jefferson,27.15,BKN,PF,@ PHI,43.52,11,222.5,-125,112,2.25,21.7,105.05,19.04,26.81,36.92,17.38,2.09
Joe Johnson,22.74,UTA,SF,POR,38.72,11,201.5,-245,103.75,-2.25,23.0,94.33,16.95,27.57,31.61,13.87,2.07
Joe Ingles,22.32,UTA,SG,POR,38.68,17,201.5,-245,103.75,-2.25,23.0,94.33,13.69,28.18,32.36,12.28,2.03
Andre Roberson,20.22,OKC,SF,MIL,40.19,25,210.0,-240,107.75,0,30.0,102.86,10.13,32.08,26.49,13.95,2.02
