Kelly Olynyk,20.04,BOS,C,WAS,48.21,17,219.5,-205,112.25,0.25,19.9,99.63,18.94,17.42,28.06,12.02,1.82
Joe Ingles,22.46,UTA,SG,@ GSW,37.84,12,206.5,1025,96.75,0,24.0,94.33,13.73,32.44,30.55,14.37,1.73
Rodney Hood,18.76,UTA,SG,@ GSW,37.84,12,206.5,1025,96.75,0,26.4,94.33,20.56,24.94,28.14,9.38,1.71
Marcus Smart,27.02,BOS,SG,WAS,37.75,11,219.5,-205,112.25,0.25,29.9,99.63,19.04,30.60,35.13,18.91,1.69
Marcin Gortat,30.29,WAS,C,@ BOS,49.09,22,219.5,175,107.25,0.75,30.8,100.39,14.22,28.21,39.07,21.51,1.59
Avery Bradley,32.3,BOS,SG,WAS,37.75,11,219.5,-205,112.25,0.25,33.1,99.63,20.76,36.70,41.34,23.26,1.4
Terry Rozier,13.76,BOS,PG,WAS,43.17,9,219.5,-205,112.25,0.25,16.5,99.63,17.06,16.84,21.19,6.33,1.38
Al Horford,38.84,BOS,C,WAS,48.21,17,219.5,-205,112.25,0.25,31.9,99.63,19.97,36.58,48.94,28.74,1.34
Andre Iguodala,21.28,GSW,SG,UTA,33.49,1,206.5,-1600,109.75,-0.5,25.9,104.67,12.35,30.60,28.52,14.04,1.33
Markieff Morris,27.63,WAS,PF,@ BOS,44.82,19,219.5,175,107.25,0.75,30.4,100.39,19.79,28.59,37.85,17.41,1.32
David West,13.07,GSW,PF,UTA,39.45,1,206.5,-1600,109.75,-0.5,12.2,104.67,19.67,13.14,19.08,7.06,1.31
Otto Porter,27.26,WAS,SF,@ BOS,39.04,17,219.5,175,107.25,0.75,32.0,100.39,14.48,33.10,36.53,17.99,1.3
Kelly Oubre,12.92,WAS,SF,@ BOS,39.04,17,219.5,175,107.25,0.75,19.7,100.39,14.25,12.78,16.80,9.04,1.29
Amir Johnson,12.49,BOS,PF,WAS,45.33,23,219.5,-205,112.25,0.25,19.1,99.63,13.80,14.38,16.99,7.99,1.25
George Hill,28.59,UTA,PG,@ GSW,43.21,10,206.5,1025,96.75,0,31.5,94.33,21.86,35.72,41.46,15.72,1.24
Brandon Jennings,12.42,WAS,PG,@ BOS,44.62,18,219.5,175,107.25,0.75,21.3,100.39,19.36,14.08,19.38,5.46,1.24
Bojan Bogdanovic,12.27,WAS,SG,@ BOS,38.70,15,219.5,175,107.25,0.75,24.9,100.39,21.78,19.42,18.16,6.38,1.23
Boris Diaw,12.3,UTA,PF,@ GSW,44.51,16,206.5,1025,96.75,0,17.2,94.33,15.47,14.13,17.96,6.64,1.23
Jae Crowder,27.23,BOS,PF,WAS,45.33,23,219.5,-205,112.25,0.25,32.0,99.63,16.49,35.68,35.40,19.06,1.18
Bradley Beal,38.48,WAS,SG,@ BOS,38.70,15,219.5,175,107.25,0.75,34.6,100.39,26.11,38.74,54.26,22.70,1.13
Joe Johnson,21.27,UTA,SF,@ GSW,38.77,11,206.5,1025,96.75,0,23.5,94.33,17.52,30.00,28.08,14.46,1.12
JaVale McGee,12.09,GSW,C,UTA,43.50,3,206.5,-1600,109.75,-0.5,9.2,104.67,23.56,11.25,18.26,5.92,1.1
Rudy Gobert,38.49,UTA,C,@ GSW,47.32,14,206.5,1025,96.75,0,33.3,94.33,14.99,32.48,49.65,27.33,1.07
Draymond Green,40.19,GSW,PF,UTA,39.45,1,206.5,-1600,109.75,-0.5,32.1,104.67,18.12,35.46,54.26,26.12,1.06
Klay Thompson,32.68,GSW,SG,UTA,33.49,1,206.5,-1600,109.75,-0.5,33.5,104.67,25.29,35.55,43.14,22.22,1.02
Isaiah Thomas,45.94,BOS,PG,WAS,43.17,9,219.5,-205,112.25,0.25,33.5,99.63,33.31,36.54,59.26,32.62,1.02
John Wall,51.09,WAS,PG,@ BOS,44.62,18,219.5,175,107.25,0.75,35.9,100.39,32.42,39.39,63.86,38.32,1.02
Stephen Curry,46.98,GSW,PG,UTA,42.70,6,206.5,-1600,109.75,-0.5,32.9,104.67,31.18,35.36,68.12,25.84,1
Kevin Durant,46.68,GSW,SF,UTA,33.01,1,206.5,-1600,109.75,-0.5,32.7,104.67,28.06,34.28,67.22,26.14,0.97
Gordon Hayward,37.81,UTA,SF,@ GSW,38.77,11,206.5,1025,96.75,0,33.9,94.33,25.29,35.13,49.53,26.09,0.97
Zaza Pachulia,9.18,GSW,C,UTA,43.50,3,206.5,-1600,109.75,-0.5,17.4,104.67,16.19,11.30,14.41,3.95,0.92
