Kelly Olynyk,19.88,BOS,PF,WAS,45.32,23,211.0,-220,108,1,19.9,99.63,18.88,21.23,27.83,11.93,1.81
Bojan Bogdanovic,15.97,WAS,SG,@ BOS,38.73,15,211.0,190,103,0.5,24.7,100.39,21.70,18.17,23.64,8.30,1.6
Marcus Smart,24.27,BOS,SG,WAS,37.45,7,211.0,-220,108,1,29.9,99.63,19.12,28.86,31.55,16.99,1.52
Markieff Morris,29.88,WAS,PF,@ BOS,45.02,20,211.0,190,103,0.5,30.2,100.39,19.88,37.38,40.94,18.82,1.42
Avery Bradley,31.32,BOS,SG,WAS,37.45,7,211.0,-220,108,1,33.1,99.63,20.61,39.61,40.09,22.55,1.36
Amir Johnson,13.28,BOS,PF,WAS,45.32,23,211.0,-220,108,1,18.7,99.63,13.78,14.31,18.06,8.50,1.33
Terry Rozier,13.07,BOS,PG,WAS,43.33,12,211.0,-220,108,1,16.6,99.63,17.26,15.82,20.13,6.01,1.31
Jae Crowder,29.43,BOS,SF,WAS,38.68,9,211.0,-220,108,1,32.0,99.63,16.48,36.13,38.26,20.60,1.28
Al Horford,36.92,BOS,C,WAS,47.81,16,211.0,-220,108,1,32.0,99.63,19.79,36.47,46.52,27.32,1.27
Ian Mahinmi,12.55,WAS,C,@ BOS,48.84,20,211.0,190,103,0.5,17.0,100.39,13.51,16.67,17.44,7.66,1.26
Kelly Oubre,12.81,WAS,SF,@ BOS,39.20,18,211.0,190,103,0.5,19.6,100.39,14.31,15.20,18.57,7.05,1.16
Otto Porter,29.11,WAS,SF,@ BOS,39.20,18,211.0,190,103,0.5,32.2,100.39,14.59,35.10,39.01,19.21,1.16
Marcin Gortat,23.69,WAS,C,@ BOS,48.84,20,211.0,190,103,0.5,30.9,100.39,14.22,26.67,28.66,18.72,1.08
Bradley Beal,35.83,WAS,SG,@ BOS,38.73,15,211.0,190,103,0.5,34.7,100.39,25.93,38.74,46.94,24.72,1.05
John Wall,52.63,WAS,PG,@ BOS,45.02,20,211.0,190,103,0.5,36.0,100.39,32.63,39.39,65.79,39.47,1.03
Isaiah Thomas,45.48,BOS,PG,WAS,43.33,12,211.0,-220,108,1,33.5,99.63,33.21,38.57,57.30,33.66,1.01
Brandon Jennings,9.93,WAS,PG,@ BOS,45.02,20,211.0,190,103,0.5,21.1,100.39,19.20,15.36,15.49,4.37,0.99
Jaylen Brown,7.7,BOS,SF,WAS,38.68,9,211.0,-220,108,1,16.0,99.63,17.55,12.41,10.16,5.24,0.77
Jason Smith,6.96,WAS,PF,@ BOS,45.02,20,211.0,190,103,0.5,13.9,100.39,16.13,6.70,10.23,3.69,0.7
Manu Ginobili,23.14,SAS,SG,@ GSW,37.55,10,210.0,925,98.25,0.75,17.8,97.88,20.23,25.29,31.47,14.81,2.31
Jonathon Simmons,22.64,SAS,SF,@ GSW,38.70,10,210.0,925,98.25,0.75,17.4,97.88,18.10,30.58,30.79,14.49,2.26
