Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3601,Mike,Dunleavy,SF,ATL,HOU,ATL@HOU,8:00PM EST,10,10.3, 
nba.p.3818,Dwight,Howard,C,ATL,HOU,ATL@HOU,8:00PM EST,25,32.9, 
nba.p.3831,Kris,Humphries,PF,ATL,HOU,ATL@HOU,8:00PM EST,10,10.4, 
nba.p.4141,Thabo,Sefolosha,SF,ATL,HOU,ATL@HOU,8:00PM EST,10,18.8,GTD
nba.p.4175,Paul,Millsap,PF,ATL,HOU,ATL@HOU,8:00PM EST,35,36.8, 
nba.p.4306,Tiago,Splitter,C,ATL,HOU,ATL@HOU,8:00PM EST,10,12,INJ
nba.p.5077,Mike,Scott,PF,ATL,HOU,ATL@HOU,8:00PM EST,10,7.3, 
nba.p.5102,Kent,Bazemore,SG,ATL,HOU,ATL@HOU,8:00PM EST,13,21.5, 
nba.p.5187,Dennis,Schroder,PG,ATL,HOU,ATL@HOU,8:00PM EST,27,29.9, 
nba.p.5194,Tim,Hardaway Jr.,SG,ATL,HOU,ATL@HOU,8:00PM EST,11,19, 
nba.p.5214,Mike,Muscala,C,ATL,HOU,ATL@HOU,8:00PM EST,10,15.9, 
nba.p.5359,Lamar,Patterson,SG,ATL,HOU,ATL@HOU,8:00PM EST,10,6.8, 
nba.p.5643,Taurean,Prince,SF,ATL,HOU,ATL@HOU,8:00PM EST,10,7.4, 
nba.p.5652,DeAndre',Bembry,SF,ATL,HOU,ATL@HOU,8:00PM EST,10,4.8, 
nba.p.5696,Malcolm,Delaney,PG,ATL,HOU,ATL@HOU,8:00PM EST,10,12.1, 
nba.p.3605,Nene,Hilario,C,HOU,ATL,ATL@HOU,8:00PM EST,10,15.6, 
nba.p.3860,Trevor,Ariza,SF,HOU,ATL,ATL@HOU,8:00PM EST,20,26.4, 
nba.p.4285,Corey,Brewer,SF,HOU,ATL,ATL@HOU,8:00PM EST,10,9.1, 
nba.p.4469,Eric,Gordon,SG,HOU,ATL,ATL@HOU,8:00PM EST,20,26.9, 
nba.p.4483,Ryan,Anderson,PF,HOU,ATL,ATL@HOU,8:00PM EST,17,23.9, 
nba.p.4525,Bobby,Brown,SG,HOU,ATL,ATL@HOU,8:00PM EST,10,1.8, 
nba.p.4563,James,Harden,SG,HOU,ATL,ATL@HOU,8:00PM EST,62,54.9, 
nba.p.4647,Patrick,Beverley,PG,HOU,ATL,ATL@HOU,8:00PM EST,21,26.1, 
nba.p.5329,Tyler,Ennis,PG,HOU,ATL,ATL@HOU,8:00PM EST,10,3.9, 
nba.p.5336,Clint,Capela,C,HOU,ATL,ATL@HOU,8:00PM EST,17,24.4, 
nba.p.5343,K.J.,McDaniels,SF,HOU,ATL,ATL@HOU,8:00PM EST,10,4.9, 
nba.p.5478,Sam,Dekker,SF,HOU,ATL,ATL@HOU,8:00PM EST,10,15.5, 
nba.p.5492,Montrezl,Harrell,C,HOU,ATL,ATL@HOU,8:00PM EST,10,17.6, 
nba.p.5668,Chinanu,Onuaku,C,HOU,ATL,ATL@HOU,8:00PM EST,10,6.6, 
nba.p.5741,Kyle,Wiltjer,PF,HOU,ATL,ATL@HOU,8:00PM EST,10,2.1, 
nba.p.3721,David,West,PF,GS,LAC,GS@LAC,10:30PM EST,10,11.8,INJ
nba.p.3745,Zaza,Pachulia,C,GS,LAC,GS@LAC,10:30PM EST,10,17.5,INJ
nba.p.3821,Shaun,Livingston,PG,GS,LAC,GS@LAC,10:30PM EST,11,10.9,GTD
nba.p.3826,Andre,Iguodala,SF,GS,LAC,GS@LAC,10:30PM EST,10,18.1, 
nba.p.3847,Anderson,Varejao,PF,GS,LAC,GS@LAC,10:30PM EST,10,5.2, 
nba.p.4244,Kevin,Durant,SF,GS,LAC,GS@LAC,10:30PM EST,51,47.7, 
nba.p.4480,JaVale,McGee,C,GS,LAC,GS@LAC,10:30PM EST,10,10.4, 
nba.p.4612,Stephen,Curry,PG,GS,LAC,GS@LAC,10:30PM EST,44,42.7, 
nba.p.4892,Klay,Thompson,SG,GS,LAC,GS@LAC,10:30PM EST,29,31.2, 
nba.p.5069,Draymond,Green,PF,GS,LAC,GS@LAC,10:30PM EST,36,36.4,O
nba.p.5237,Ian,Clark,PG,GS,LAC,GS@LAC,10:30PM EST,10,10.9, 
nba.p.5385,James Michael,McAdoo,PF,GS,LAC,GS@LAC,10:30PM EST,10,5.2, 
nba.p.5490,Kevon,Looney,PF,GS,LAC,GS@LAC,10:30PM EST,10,7.5, 
nba.p.5661,Damian,Jones,C,GS,LAC,GS@LAC,10:30PM EST,10,2.5, 
nba.p.5669,Patrick,McCaw,SG,GS,LAC,GS@LAC,10:30PM EST,10,6.3, 
nba.p.3253,Paul,Pierce,SF,LAC,GS,GS@LAC,10:30PM EST,10,6.5, 
nba.p.3407,Jamal,Crawford,SG,LAC,GS,GS@LAC,10:30PM EST,12,18.7, 
nba.p.3930,Chris,Paul,PG,LAC,GS,GS@LAC,10:30PM EST,46,41.8,INJ
nba.p.3931,Raymond,Felton,PG,LAC,GS,GS@LAC,10:30PM EST,15,16.4, 
nba.p.3959,Brandon,Bass,C,LAC,GS,GS@LAC,10:30PM EST,10,9.8, 
nba.p.3995,Alan,Anderson,SG,LAC,GS,GS@LAC,10:30PM EST,10,5.4, 
nba.p.4139,J.J.,Redick,SG,LAC,GS,GS@LAC,10:30PM EST,17,21.7, 
nba.p.4478,Marreese,Speights,PF,LAC,GS,GS@LAC,10:30PM EST,10,18.7, 
nba.p.4497,DeAndre,Jordan,C,LAC,GS,GS@LAC,10:30PM EST,31,33.7, 
nba.p.4498,Luc Richard,Mbah a Moute,SF,LAC,GS,GS@LAC,10:30PM EST,10,13, 
nba.p.4561,Blake,Griffin,PF,LAC,GS,GS@LAC,10:30PM EST,39,39.4, 
nba.p.4719,Wesley,Johnson,SF,LAC,GS,GS@LAC,10:30PM EST,10,10, 
nba.p.5016,Austin,Rivers,PG,LAC,GS,GS@LAC,10:30PM EST,19,19.6, 
nba.p.5656,Brice,Johnson,PF,LAC,GS,GS@LAC,10:30PM EST,10,0,INJ
nba.p.5671,Diamond,Stone,C,LAC,GS,GS@LAC,10:30PM EST,10,3.2, 
nba.p.3962,Ersan,Ilyasova,PF,PHI,SA,PHI@SA,8:30PM EST,24,25.8, 
nba.p.4155,Sergio,Rodriguez,PG,PHI,SA,PHI@SA,8:30PM EST,10,19.8, 
nba.p.4473,Jerryd,Bayless,SG,PHI,SA,PHI@SA,8:30PM EST,18,19.6,INJ
nba.p.4617,Gerald,Henderson,SG,PHI,SA,PHI@SA,8:30PM EST,10,16.6, 
nba.p.5157,Nerlens,Noel,C,PHI,SA,PHI@SA,8:30PM EST,19,19, 
nba.p.5253,Robert,Covington,SF,PHI,SA,PHI@SA,8:30PM EST,23,25.2,GTD
nba.p.5294,Joel,Embiid,C,PHI,SA,PHI@SA,8:30PM EST,34,36.2,INJ
nba.p.5319,Nik,Stauskas,SG,PHI,SA,PHI@SA,8:30PM EST,10,16, 
nba.p.5323,Dario,Saric,SF,PHI,SA,PHI@SA,8:30PM EST,11,19.7, 
nba.p.5434,Jahlil,Okafor,C,PHI,SA,PHI@SA,8:30PM EST,12,20.2, 
nba.p.5497,Richaun,Holmes,PF,PHI,SA,PHI@SA,8:30PM EST,10,14.9, 
nba.p.5582,T.J.,McConnell,PG,PHI,SA,PHI@SA,8:30PM EST,18,19.6, 
nba.p.5600,Ben,Simmons,SF,PHI,SA,PHI@SA,8:30PM EST,10,0,INJ
nba.p.5655,Timothe,Luwawu-Cabarrot,SG,PHI,SA,PHI@SA,8:30PM EST,10,6, 
nba.p.5706,Chasson,Randle,PG,PHI,SA,PHI@SA,8:30PM EST,10,8.4, 
nba.p.3380,Manu,Ginobili,SG,SA,PHI,PHI@SA,8:30PM EST,10,17.1, 
nba.p.3513,Pau,Gasol,C,SA,PHI,PHI@SA,8:30PM EST,19,27.6,INJ
nba.p.3527,Tony,Parker,PG,SA,PHI,PHI@SA,8:30PM EST,11,20.3, 
nba.p.3956,David,Lee,PF,SA,PHI,PHI@SA,8:30PM EST,17,16.8, 
nba.p.4130,LaMarcus,Aldridge,PF,SA,PHI,PHI@SA,8:30PM EST,33,31.8,O
nba.p.4339,Joel,Anthony,PF,SA,PHI,PHI@SA,8:30PM EST,10,3.3, 
nba.p.4651,Danny,Green,SG,SA,PHI,PHI@SA,8:30PM EST,10,17.4, 
nba.p.4660,Patty,Mills,PG,SA,PHI,PHI@SA,8:30PM EST,10,18.6, 
nba.p.4896,Kawhi,Leonard,SF,SA,PHI,PHI@SA,8:30PM EST,43,41.2, 
nba.p.4926,Davis,Bertans,SF,SA,PHI,PHI@SA,8:30PM EST,10,8.1, 
nba.p.5256,Dewayne,Dedmon,C,SA,PHI,PHI@SA,8:30PM EST,10,14.7, 
nba.p.5341,Kyle,Anderson,SG,SA,PHI,PHI@SA,8:30PM EST,10,9, 
nba.p.5526,Jonathon,Simmons,SF,SA,PHI,PHI@SA,8:30PM EST,10,12.9, 
nba.p.5660,Dejounte,Murray,PG,SA,PHI,PHI@SA,8:30PM EST,11,6.9, 
nba.p.5726,Bryn,Forbes,PG,SA,PHI,PHI@SA,8:30PM EST,10,2.4, 
