Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3944,Gerald,Green,SG,BOS,CHI,BOS@CHI,7:00PM EDT,10,9.2, 
nba.p.3982,Amir,Johnson,PF,BOS,CHI,BOS@CHI,7:00PM EDT,10,16.5, 
nba.p.4245,Al,Horford,C,BOS,CHI,BOS@CHI,7:00PM EDT,27,32.8, 
nba.p.4644,Jonas,Jerebko,PF,BOS,CHI,BOS@CHI,7:00PM EDT,10,10.2, 
nba.p.4750,Avery,Bradley,SG,BOS,CHI,BOS@CHI,7:00PM EDT,23,28.9, 
nba.p.4942,Isaiah,Thomas,PG,BOS,CHI,BOS@CHI,7:00PM EDT,45,41.9, 
nba.p.5023,Tyler,Zeller,C,BOS,CHI,BOS@CHI,7:00PM EDT,10,8.2, 
nba.p.5068,Jae,Crowder,SF,BOS,CHI,BOS@CHI,7:00PM EDT,23,26.5, 
nba.p.5164,Kelly,Olynyk,C,BOS,CHI,BOS@CHI,7:00PM EDT,11,19, 
nba.p.5317,Marcus,Smart,PG,BOS,CHI,BOS@CHI,7:00PM EDT,16,24.8, 
nba.p.5328,James,Young,SG,BOS,CHI,BOS@CHI,7:00PM EDT,10,4.5, 
nba.p.5476,Terry,Rozier,PG,BOS,CHI,BOS@CHI,7:00PM EDT,10,13, 
nba.p.5493,Jordan,Mickey,PF,BOS,CHI,BOS@CHI,7:00PM EDT,10,3.9, 
nba.p.5602,Jaylen,Brown,SF,BOS,CHI,BOS@CHI,7:00PM EDT,10,11.9, 
nba.p.5676,Demetrius,Jackson,PG,BOS,CHI,BOS@CHI,7:00PM EDT,10,4, 
nba.p.3708,Dwyane,Wade,SG,CHI,BOS,BOS@CHI,7:00PM EDT,27,31.7, 
nba.p.4149,Rajon,Rondo,PG,CHI,BOS,BOS@CHI,7:00PM EDT,25,25.6,INJ
nba.p.4477,Robin,Lopez,C,CHI,BOS,BOS@CHI,7:00PM EDT,13,22, 
nba.p.4527,Anthony,Morrow,SG,CHI,BOS,BOS@CHI,7:00PM EDT,10,8.4, 
nba.p.4905,Nikola,Mirotic,PF,CHI,BOS,BOS@CHI,7:00PM EDT,22,21.6, 
nba.p.4912,Jimmy,Butler,SF,CHI,BOS,BOS@CHI,7:00PM EDT,51,42.8, 
nba.p.5162,Michael,Carter-Williams,PG,CHI,BOS,BOS@CHI,7:00PM EDT,10,15.6, 
nba.p.5204,Isaiah,Canaan,PG,CHI,BOS,BOS@CHI,7:00PM EDT,10,8.5, 
nba.p.5225,Joffrey,Lauvergne,PF,CHI,BOS,BOS@CHI,7:00PM EDT,10,11.5, 
nba.p.5474,Cameron,Payne,PG,CHI,BOS,BOS@CHI,7:00PM EDT,10,10.4, 
nba.p.5479,Jerian,Grant,PG,CHI,BOS,BOS@CHI,7:00PM EDT,10,12.2, 
nba.p.5482,Bobby,Portis,PF,CHI,BOS,BOS@CHI,7:00PM EDT,12,13.9, 
nba.p.5522,Cristiano,Felicio,C,CHI,BOS,BOS@CHI,7:00PM EDT,10,12, 
nba.p.5645,Denzel,Valentine,SG,CHI,BOS,BOS@CHI,7:00PM EDT,10,10.8, 
nba.p.5679,Paul,Zipser,SG,CHI,BOS,BOS@CHI,7:00PM EDT,10,11.1, 
nba.p.3605,Nene,Hilario,C,HOU,OKC,HOU@OKC,9:30PM EDT,10,17.4, 
nba.p.3860,Trevor,Ariza,SF,HOU,OKC,HOU@OKC,9:30PM EDT,24,25.9, 
nba.p.3971,Lou,Williams,PG,HOU,OKC,HOU@OKC,9:30PM EDT,18,26.4, 
nba.p.4469,Eric,Gordon,SG,HOU,OKC,HOU@OKC,9:30PM EDT,14,25.5, 
nba.p.4483,Ryan,Anderson,PF,HOU,OKC,HOU@OKC,9:30PM EDT,19,22.3, 
nba.p.4525,Bobby,Brown,SG,HOU,OKC,HOU@OKC,9:30PM EDT,10,3.8, 
